date, pm25, no2, so2, co2
01-04-25,11,22,1,7
02-04-25,64,18,2,3
03-04-25,40,25,1,8
04-04-25,58,28,1,11
05-04-25,57,38,2,9
06-04-25,54,44,1,7
07-04-25,35,28,1,9
08-04-25,43,24,1,9
09-04-25,7,22,2,6
10-04-25,67,24,1,7
11-04-25,34,19,2,9
12-04-25,47,27,2,9
13-04-25,55,22,1,6
14-04-25,47,26,2,6
15-04-25,43,24,2,5
16-04-25,40,23,2,6
17-04-25,50,23,5,5
18-04-25,49,15,3,4
19-04-25,30,22,2,4
20-04-25,41,26,2,3
21-04-25,35,32,4,5
22-04-25,46,36,3,5
23-04-25,43,15,4,5
24-04-25,48,18,5,8
25-04-25,53,21,6,9
26-04-25,62,20,5,8
27-04-25,57,21,4,5
28-04-25,33,22,7,8
29-04-25,48,18,8,9
30-04-25,67,24,1,7